Id	Cost of Optimal Schedule	Cost of Greedy Schedule	Cost Reduction of optimal Schedule (%)	01111-OSEPCost	# operators	# edges	# blocking edges	# edges in an undirected cycle
2690	7115	14279	100.6886859	41562	40	45	21	30
1778	7120	14290	100.7022472	704566	27	30	3	19
822	8165	14680	79.79179424	38696	24	27	5	16
515	9673	17858	84.61697509	227871	89	94	18	11
516	9673	17860	84.63765119	71428	23	27	6	10
1556	24118	26739	10.86740194	17858	16	17	7	8
1883	10610	38488	262.7521206	4.43E+07	13	16	2	7
1631	13970	38696	176.9935576	2237201	20	25	17	6
484	10527	41228	291.6405434	14290	12	14	2	6
1292	21518	41562	93.149921	129847	16	18	2	5
1527	10276	47533	362.5632542	316386	25	26	18	5
1731	22106	47893	116.6515878	47533	11	12	9	4
2181	22843	67867	197.1019568	4904060	53	63	33	4
984	25831	68682	165.8898223	14680	54	60	12	3
2238	23908	71428	198.7619207	72580	41	45	9	3
1256	21292	72580	240.8792035	38488	44	46	6	28
1503	90795	98959	8.991684564	98959	26	28	8	18
2111	88786	105142	18.42182326	47893	17	20	12	13
2816	50451	129847	157.3725	105142	28	31	3	10
485	3314	142724	4206.698853	17860	16	17	7	8
832	223114	227871	2.132093907	26739	17	19	3	8
1238	221839	316386	42.61964758	41228	19	24	3	6
2863	388511	409671	5.446435236	6160565	18	20	2	6
920	243590	427968	75.69194138	409671	103	116	48	6
2131	665692	704566	5.83963755	68682	18	22	10	5
598	1097076	2237201	103.9239761	142724	105	112	32	4
1102	4373996	4904060	12.1185296	14279	12	14	2	4
610	6147027	6160565	0.2202365469	427968	34	37	18	4
2422	22125684	44253021	100.01	67867	28	29	16	3









































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































